Lag,Window,Total Trades,Win Rate (%),Total PnL,Average PnL,Max Drawdown,Risk-Reward,Avg Win,Avg Loss,Average MAE,Max MAE,Average MFE,Max MFE,Winning PnL,Losing PnL,Avg Trade Efficiency (%),Sharpe-like Ratio,Sortino Ratio,Expectancy,Normalized PnL,Efficiency Ratio
5,2,29188,41.78429492,34287.26,1.174703988,18.25,7.30698082,3.256851427,-0.445717801,-0.155427573,-57.08,0.219374058,59.49,39720.56,-5433.3,-6.670426382,0.835751084,2.251069398,1.101374644,1.174703988,7.557886709
11,1,29359,43.79576961,35216.01,1.199496236,18.21,7.27060704,3.136518899,-0.431397115,-0.12627644,-22.13,0.128476106,50.81,40329.36,-5113.35,-6.358771702,0.886833446,2.367222254,1.131199162,1.199496236,9.498970963
12,1,29021,44.07842597,35190.01,1.212570552,20.29,7.26671925,3.143061288,-0.43252824,-0.12192757,-22.16,0.123322077,76.42,40206.04,-5016.03,-4.942216834,0.89471003,2.436404998,1.143535343,1.212570552,9.94500715
1,1,32067,43.63052359,38256.69,1.193023669,24.5,7.224223553,3.133640197,-0.433768442,-0.11054199,-22.13,0.072155175,57.43,43842.76,-5586.07,-4.67089531,0.883763214,2.354151016,1.122710626,1.193023669,10.79249312
8,1,29377,43.42172448,34465.93,1.173228376,17.25,7.180246073,3.108100502,-0.432868243,-0.127867039,-57.08,0.135752119,57.43,39646.93,-5181,-5.622925077,0.877103939,2.324140506,1.104681449,1.173228376,9.175377694
10,1,29077,43.63930254,34694.22,1.193184304,11.38,7.18000001,3.138125936,-0.437064893,-0.129336933,-39.74,0.114187502,50.56,39819.68,-5125.46,-5.609892722,0.883493031,2.364593387,1.123123449,1.193184304,9.22539507
7,1,29081,43.51638527,34591.59,1.189491077,21.17,7.162055838,3.144761754,-0.439086461,-0.135473333,-57.08,0.121052921,59.39,39796.96,-5205.37,-6.754685944,0.879256339,2.280845334,1.120474736,1.189491077,8.780259918
5,1,29252,43.78845891,35012.92,1.196941064,16.94,7.128651155,3.139167773,-0.440359292,-0.139427048,-57.08,0.16852728,59.49,40209.6,-5196.68,-5.82363678,0.887014453,2.321854585,1.127060446,1.196941064,8.584712101
2,1,30382,44.41445593,36570.81,1.203699888,17.25,7.11674235,3.098860975,-0.435432509,-0.132082154,-23.98,0.122766112,55.24,41816.03,-5245.22,-5.691455488,0.903872511,2.359099511,1.134304713,1.203699888,9.113266649
3,1,30052,44.46625849,36227.25,1.205485492,17.25,7.10502575,3.101993564,-0.43659146,-0.146245508,-31.97,0.162428125,55.24,41451.94,-5224.69,-6.346435449,0.904543063,2.329619304,1.136884904,1.205485492,8.24288903
6,1,29279,43.61487756,34522.73,1.179095256,22.59,7.093283782,3.108664056,-0.438254573,-0.141101814,-57.08,0.145988934,57.43,39697.64,-5174.91,-5.069297087,0.883081987,2.279296726,1.108729644,1.179095256,8.356343735
4,1,29747,43.47329142,34794.73,1.169688708,20.27,7.071638202,3.099312558,-0.438273632,-0.138004168,-57,0.174276061,43.21,40080.31,-5285.58,-5.659015816,0.879121832,2.212635402,1.099631522,1.169688708,8.475749109
9,1,29265,43.40338288,34221.14,1.169353836,14.71,7.046709413,3.105144072,-0.440651642,-0.136688536,-57,0.136486588,61.34,39441.54,-5220.4,-5.580422047,0.877731025,2.227189478,1.098343648,1.169353836,8.554878643
